m_ll,m_jj,pt_l1,pt_l2,pt_j1,pt_j2,pt_ll,eta_l1,eta_l2,eta_j1,eta_j2,delta_eta_jj,delta_phi_jj
93.77431074484507,380.0447998416633,26.849378106013088,232.16365260576464,95.7254282815668,220.54102012196722,252.75167984852652,0.7045631879417891,-0.2101351602412555,-1.8434332548550754,0.10054190088001236,-1.9439751557350877,-1.4262548533697097
172.01805708270663,430.44169690764943,350.26427284786297,56.514674362618315,35.984785996235715,399.2085780615646,369.8061901335408,-1.2272449678223065,-1.4374290990192415,0.6738855110870375,-1.736995542918417,2.4108810540054546,3.7295798144807533
100.55004371386558,484.17225135191757,152.70062164079715,47.03455649226688,83.18976691011545,253.95711425476165,175.1363729090571,-0.7908684780374478,-1.1408841734835269,1.7442326333465934,-0.45932762290656515,2.2035602562531587,-2.873331505622548
92.72434856116931,1938.7008495582336,36.99953981365906,63.95009310996298,199.23037834078823,246.38540500652255,47.15641569565674,-0.18655565946893746,-0.6972772906142269,2.1382734878977625,-2.173267009956847,4.31154049785461,3.1432262848335517
92.8878531803154,1090.8629187660008,46.872985073402425,158.49099700500116,224.14863658441263,52.15754088331807,200.6074385697031,0.40455211798846824,-0.5124485516788089,3.3504743729304374,-1.2615509927970336,4.612025365727471,4.137201142698105
89.20053910448459,1305.6102970266352,22.33594663906703,149.71631675161595,178.33182824351573,111.19969462412432,169.4262420179744,-2.0076151085135883,-0.6591324735523127,-2.3482776762288475,2.096350303486607,-4.444627979715454,1.9712804607107843
90.29037199951335,1595.8959001097512,36.98426466948929,582.6913445517662,64.67607077034819,600.9022375538938,618.4945366199754,-0.464503031828303,-1.0147030024809545,-2.566543236210479,1.6225420805784263,-4.189085316788905,-1.3467545421940286
91.4691114600514,450.6845180598637,12.463187976316105,108.81760075927608,129.09156844354104,92.74486515946604,98.53179863607212,-1.906524010779425,-0.46043321485190714,-2.80576474659804,-0.05839123630101554,-2.7473735102970247,2.278016665736752
92.1920907260851,386.14548458469494,109.65885932988641,226.30379822927105,351.66502871872746,71.92611748967515,324.9721221310276,1.435815506340855,1.2131611000797458,0.5353101661507281,2.0969535381890787,-1.5616433720383505,-2.047998918241318
93.99268800074744,4173.066158616701,231.16727315772698,15.217081281874577,351.46089166129553,153.98475522740617,228.34712670182665,1.214420080028995,1.491494238045147,-2.895736955282156,2.872638328337235,-5.768375283619391,3.6395696517134972
80.80705263574302,358.69143735511864,35.8299455217501,74.3550032092241,151.38928720573773,78.56810955126372,77.26581998730845,0.9684213858219126,1.3335100387492966,0.33084086763809684,2.500894820444165,-2.170053952806068,-2.904215263265032
91.29727687470807,651.5499776517312,108.65268033249015,169.09037619933406,186.44879070601172,114.96227396970797,274.014648455126,0.34320880624597727,0.9197535658842149,0.9961444910163815,4.041724279741596,-3.045579788725215,0.8863265079532705
92.98554617146235,672.7639534858868,30.552490246175473,71.59806475674618,144.7765856234003,198.983975978654,54.313900400906896,0.5980599891074938,1.311532317439182,-2.5852541968176808,0.027625245332752155,-2.612879442150433,-3.1616236155894892
102.64986621913437,373.05440029649844,33.07461026695504,52.87651377865938,78.68738012439825,97.48211978711082,32.31495292397341,0.9809896551586175,2.4058764381868625,-0.14757497831351818,2.635673297181865,-2.7832482754953833,2.840311358200252
